"D1.source.country","D1.destination.country"
"Azerbaijan","Russia"
"Russia","Azerbaijan"
"Cote d'Ivoire","Burkina Faso"
"Cote d'Ivoire","Burkina Faso"
"Ghana","Burkina Faso"
"Mali","Cote d'Ivoire"
"Mali","Senegal"
"Mali","Burkina Faso"
"Burkina Faso","Cote d'Ivoire"
"Benin","Togo"
"Benin","Burkina Faso"
"Senegal","Mali"
"Senegal","Burkina Faso"
"Togo","Burkina Faso"
"Niger","Burkina Faso"
"Burkina Faso","Cote d'Ivoire"
"Burkina Faso","Ghana"
"Burkina Faso","Mali"
"Burkina Faso","Benin"
"Burkina Faso","Senegal"
"Burkina Faso","Togo"
"Burkina Faso","Niger"
"Colombia","Ecuador"
"Colombia","Ecuador"
"Colombia","Ecuador"
"Ecuador","Colombia"
"Ecuador","Colombia"
"Ecuador","Colombia"
"Italy","Switzerland"
"France","Switzerland"
"United Kingdom","Switzerland"
"Switzerland","Spain"
"Cyprus","Switzerland"
"Spain","Switzerland"
"Egypt","Switzerland"
"Spain","Switzerland"
"Switzerland","Italy"
"Switzerland","France"
"Switzerland","United Kingdom"
"Switzerland","Cyprus"
"Switzerland","Spain"
"Switzerland","Egypt"
"Sweden","Finland"
"Sweden","Finland"
"Sweden","Norway"
"Finland","Sweden"
"Norway","Sweden"
"Finland","Sweden"
"Norway","Sweden"
"Sweden","Norway"
"United Arab Emirates","Philippines"
"Philippines","United Arab Emirates"
"Ghana","Senegal"
"Ghana","Nigeria"
"Ghana","Liberia"
"Spain","Gambia"
"Gambia","Spain"
"Gambia","Senegal"
"Gambia","Sierra Leone"
"Guinea","Guinea-Bissau"
"Senegal","Ghana"
"Senegal","Gambia"
"Senegal","Cameroon"
"Senegal","Sierra Leone"
"Senegal","Nigeria"
"Senegal","Guinea-Bissau"
"Cameroon","Senegal"
"Cameroon","Nigeria"
"Sierra Leone","Gambia"
"Sierra Leone","Senegal"
"Sierra Leone","United Kingdom"
"Sierra Leone","Liberia"
"United Kingdom","Sierra Leone"
"Nigeria","Ghana"
"Nigeria","Senegal"
"Nigeria","Cameroon"
"Nigeria","Liberia"
"Guinea-Bissau","Guinea"
"Guinea-Bissau","Senegal"
"Liberia","Ghana"
"Liberia","Sierra Leone"
